Low,Mid,High
0.01631247,0.122133,0.6484492
0.02645491,0.1148124,0.8754895
0.07215264,0.196947,3.386949
0.06665669,0.1630629,3.110241
0.1007775,0.1829409,2.891986
0.07462284,0.1349938,2.163662
0.09009914,0.3845267,2.509563
0.09578821,0.3201114,2.380172
0.08607752,0.2484989,1.878179
0.05391513,0.1770025,1.417092
0.07879643,0.3346732,3.781043
0.05823904,0.2241863,3.305513
0.05783017,0.1661932,2.331029
0.03515647,0.1058406,1.496924
0.05000741,0.2874346,2.563997
0.0369142,0.2287453,2.014787
0.02507356,0.165616,1.36054
0.02460479,0.1262162,1.072419
0.03615041,0.1333097,1.722982
0.0236783,0.09437424,1.756348
0.02195393,0.07172384,1.181232
0.01381623,0.04973382,0.7430014
0.0134075,0.1033631,0.8652416
0.01159789,0.1006655,0.6265963
0.009728764,0.09343878,0.4663521
0.1194984,0.3251858,3.626566
0.1221179,0.2822055,3.863194
0.1250544,0.2418459,3.221993
0.07518664,0.1517808,1.934785
0.07145171,0.2991953,2.42191
0.04967078,0.2556199,2.029238
0.03246248,0.1891117,1.323835
0.02167441,0.1368543,0.866685
0.1380955,0.276802,2.395526
0.1372138,0.2419913,2.052339
0.08541008,0.1723725,1.275175
0.07509137,0.2127275,1.643644
0.0511068,0.1788754,1.136819
0.03316107,0.1410727,0.7755549
0.1392129,0.3019671,3.105541
0.1055675,0.231902,3.204303
0.08267535,0.1668537,2.119123
0.04969487,0.1046008,1.264689
0.03331001,0.1228831,1.104167
0.02205473,0.09776631,0.8695438
0.04612537,0.1265552,1.584949
0.04153116,0.1102734,1.225801
0.03296819,0.1636846,1.127835
0.02374082,0.1554135,1.040404
0.01638652,0.1222713,0.7065554
0.02675292,0.2799928,3.122502
0.03532775,0.2508243,3.783631
0.06371894,0.209763,3.010957
0.03893675,0.1328448,1.799399
0.04166159,0.1637947,1.847833
0.02815953,0.1431049,1.333294
0.01878235,0.1097553,0.8800754
0.01432192,0.07893797,0.5818989
0.04021514,0.2215814,2.331519
0.02831053,0.1613493,2.240162
0.0179926,0.1050249,1.374375
0.01771601,0.1246535,1.176799
0.01303814,0.1068937,0.8059571
0.008404662,0.07598171,0.5405157
0.01648119,0.163689,2.567685
0.09407374,0.2152952,2.556837
0.05617572,0.1331568,1.530557
0.07862101,0.2826905,2.357625
0.07002544,0.2416923,2.029141
0.04437185,0.1729978,1.285175
0.127836,0.2619576,3.153034
0.1330657,0.2347637,2.817732
0.07983754,0.1468499,1.692613
0.08954584,0.245004,2.046586
0.06198528,0.2070279,1.413909
0.03958545,0.1610935,0.9307715
0.03083835,0.1181584,0.8196293
0.06840885,0.2024563,2.845513
0.1111692,0.2186294,2.521973
0.06668903,0.1386851,1.51477
0.05349774,0.1728035,1.109305
0.04131771,0.195915,1.358552
0.02802197,0.1507186,0.9142066
0.01980148,0.1099043,0.6190738
0.1411045,0.303876,2.708891
0.157236,0.2851836,2.861829
0.1431544,0.2402571,2.574955
0.08624628,0.1502434,1.565396
0.07100726,0.3078704,2.612796
0.04615629,0.2339465,1.749909
0.0293485,0.1743387,1.1321
0.1685585,0.3766418,3.638966
0.1367112,0.2757438,2.590291
0.08210351,0.1705461,1.556132
0.06687377,0.3662811,2.396955
0.06426457,0.3006607,2.012185
0.04381485,0.2301839,1.414448
0.03089831,0.1881219,1.295152
0.1205358,0.2799758,2.621226
0.09068079,0.2445178,2.225935
0.08209036,0.3771306,2.723933
0.05171779,0.2685463,1.968499
0.07806829,0.227966,1.982083
0.06239953,0.3350052,4.190071
0.04711369,0.3001146,4.60489
0.06815282,0.2355102,3.722708
0.04262922,0.1484926,2.513842
0.1348939,0.3160117,3.585961
0.1101127,0.2534899,2.97096
0.07599514,0.1841556,2.27105
0.07623545,0.1717778,2.621576
0.07504091,0.1464317,2.671654
0.08429319,0.1484514,2.456937
0.0644474,0.2763976,2.871396
0.05196514,0.2242299,2.231593
0.05637386,0.186899,2.627592
0.04991772,0.2694363,4.07691
0.05695542,0.2549619,4.537276
0.1047942,0.2515145,3.907324
0.1357196,0.3382033,3.398325
0.1600363,0.3572998,3.766884
0.1233582,0.269415,2.916797
0.1030305,0.208376,2.2617
0.1750315,0.3205409,4.237843
0.1380798,0.2456108,3.570292
0.1010221,0.1748184,2.505718
0.1020105,0.4118349,3.026299
0.07977726,0.3650965,2.722562
0.1010921,0.2975901,2.691726
0.07658029,0.3758163,4.107472
0.1075386,0.3134789,3.595419
0.1625374,0.406328,3.856
